8066,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Rosemont,34.0778799,-118.2661999
8067,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Barrington,34.065,-118.47011
8068,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Bundy,34.06007,-118.4760299
8069,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Carmelina,34.0576999,-118.48082
8070,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Cliffwood,34.0570299,-118.48576
8072,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Kenter,34.0583699,-118.47835
8073,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Rockingham,34.0581799,-118.4928899
8074,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Saltair,34.0611199,-118.47473
8076,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Westgate,34.06267,-118.4728499
8077,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Woodburn,34.0696499,-118.46949
8078,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / San Vicente,34.09052,-118.3856999
8079,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Sanborn,34.09275,-118.28091
8080,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Sunset Plaza,34.09218,-118.3796499
8081,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Swarthmore,34.0471099,-118.5256299
8084,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Wilcox,34.0978799,-118.33117
9269,2 Downtown LA - Pacific Palisades Via Sunset Bl,Church / 405 Fwy Off-Ramp,34.0733399,-118.46854
10984,2 Downtown LA - Pacific Palisades Via Sunset Bl,Hilgard / Westholme,34.06944,-118.4388499
11426,2 Downtown LA - Pacific Palisades Via Sunset Bl,Le Conte / Broxton,34.0635899,-118.44673
11432,2 Downtown LA - Pacific Palisades Via Sunset Bl,Fairfax / Sunset,34.0972999,-118.36168
13596,2 Downtown LA - Pacific Palisades Via Sunset Bl,Hill / 4th,34.05044,-118.2504099
13597,2 Downtown LA - Pacific Palisades Via Sunset Bl,Hill / 5th,34.0486099,-118.25205
13598,2 Downtown LA - Pacific Palisades Via Sunset Bl,Hill / 6th,34.0472299,-118.25341
14261,2 Downtown LA - Pacific Palisades Via Sunset Bl,San Vicente / Cynthia,34.0870999,-118.3853199
14289,2 Downtown LA - Pacific Palisades Via Sunset Bl,San Vicente / Sunset,34.0904499,-118.38543
14762,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Beverly,34.0812399,-118.41223
14790,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Foothill,34.0861099,-118.40643
,2 Downtown LA - Pacific Palisades Via Sunset Bl,Terminal 28 - West Lot,34.0334999,-118.26514
15599,2 Downtown LA - Pacific Palisades Via Sunset Bl,Hill / Pico,34.0378899,-118.26208
16325,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Doheny Drive,34.0904999,-118.38991
16366,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Temescal Canyon,34.0497099,-118.5296
,2 Downtown LA - Pacific Palisades Via Sunset Bl,Broadway / 7th,34.0455099,-118.25293
17306,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Parkman,34.08296,-118.27353
